Title,Price,Availability,Image URL,Rating,Product Page URL
Tipping the Velvet,£53.74,In stock,../../../../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,One,https://books.toscrape.com/catalogue/../../../tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,In stock,../../../../media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,Three,https://books.toscrape.com/catalogue/../../../forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),£55.53,In stock,../../../../media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,Five,https://books.toscrape.com/catalogue/../../../a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,£36.95,In stock,../../../../media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,One,https://books.toscrape.com/catalogue/../../../the-house-by-the-lake_846/index.html
Mrs. Houdini,£30.25,In stock,../../../../media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,Five,https://books.toscrape.com/catalogue/../../../mrs-houdini_821/index.html
The Marriage of Opposites,£28.08,In stock,../../../../media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,Four,https://books.toscrape.com/catalogue/../../../the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,£45.84,In stock,../../../../media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,Three,https://books.toscrape.com/catalogue/../../../glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",£20.55,In stock,../../../../media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,Two,https://books.toscrape.com/catalogue/../../../love-lies-and-spies_622/index.html
A Paris Apartment,£39.01,In stock,../../../../media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,Four,https://books.toscrape.com/catalogue/../../../a-paris-apartment_612/index.html
Lilac Girls,£17.28,In stock,../../../../media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,Two,https://books.toscrape.com/catalogue/../../../lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),£16.62,In stock,../../../../media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,Three,https://books.toscrape.com/catalogue/../../../the-constant-princess-the-tudor-court-1_493/index.html
