Title,Price,Availability,Image URL,Rating,Product Page URL
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,../../../../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,Five,https://books.toscrape.com/catalogue/../../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,In stock,../../../../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,One,https://books.toscrape.com/catalogue/../../../tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,£19.49,In stock,../../../../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,Four,https://books.toscrape.com/catalogue/../../../this-one-summer_947/index.html
The Nameless City (The Nameless City #1),£38.16,In stock,../../../../media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,Four,https://books.toscrape.com/catalogue/../../../the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,In stock,../../../../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,Two,https://books.toscrape.com/catalogue/../../../saga-volume-5-saga-collected-editions-5_923/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,In stock,../../../../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,Three,https://books.toscrape.com/catalogue/../../../rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,In stock,../../../../media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,Five,https://books.toscrape.com/catalogue/../../../princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",£18.97,In stock,../../../../media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,One,https://books.toscrape.com/catalogue/../../../pop-gun-war-volume-1-gift_918/index.html
Patience,£10.16,In stock,../../../../media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,Three,https://books.toscrape.com/catalogue/../../../patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,In stock,../../../../media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,Four,https://books.toscrape.com/catalogue/../../../outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,In stock,../../../../media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,One,https://books.toscrape.com/catalogue/../../../orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,In stock,../../../../media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,Two,https://books.toscrape.com/catalogue/../../../lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,In stock,../../../../media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,Three,https://books.toscrape.com/catalogue/../../../lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,In stock,../../../../media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,Two,https://books.toscrape.com/catalogue/../../../lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,In stock,../../../../media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,Two,https://books.toscrape.com/catalogue/../../../i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,£54.63,In stock,../../../../media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,Three,https://books.toscrape.com/catalogue/../../../i-am-a-hero-omnibus-volume-1_898/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,In stock,../../../../media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,Two,https://books.toscrape.com/catalogue/../../../giant-days-vol-2-giant-days-5-8_895/index.html
Danganronpa Volume 1,£51.99,In stock,../../../../media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,Four,https://books.toscrape.com/catalogue/../../../danganronpa-volume-1_889/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,In stock,../../../../media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,Four,https://books.toscrape.com/catalogue/../../../codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,£17.08,In stock,../../../../media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,Four,https://books.toscrape.com/catalogue/../../../camp-midnight_886/index.html
